Block,Reward360,Reward180,Reward90,RewardFlexible
12,0,0,0,0
1012,0,0,0,0
2012,0,0,0,0
3012,0,0,0,0
4012,0,0,0,0
5012,0,0,0,0
6012,0,0,0,0
7012,0,0,0,0
8012,0,0,0,0
9012,0,0,0,0
10008,0,0,0,0
11008,2626223107505233676056,1969667330628925257042,1313111553752616838028,656555776876308419014
12008,5251789774118941089096,3938842330589205816822,2625894887059470544548,1312947443529735272274
13008,7876700196743874425440,5907525147557905819080,3938350098371937212720,1969175049185968606360
14008,10500954572223688465057,7875715929167766348793,5250477286111844232528,2625238643055922116264
15008,13124553097343020837294,9843414823007265627970,6562276548671510418647,3281138274335755209323
16008,15747495968827448245022,11810621976620586183766,7873747984413724122511,3936873992206862061255
17008,18369783383343581312328,13777337537507685984246,9184891691671790656164,4592445845835895328082
18008,20991415537498998920725,15743561653124249190544,10495707768749499460362,5247853884374749730181
19008,23612392627842343056848,17709294470881757292636,11806196313921171528424,5903098156960585764212
20008,26232714850863267740612,19674536138147450805459,13116357425431633870306,6558178712715816935153
21008,28852382402992519280960,21639286802244389460720,14426191201496259640480,7213095600748129820240
22008,31471395480601877908045,23603546610451408431034,15735697740300938954022,7867848870150469477011
23008,34089754280004296396781,25567315710003222297586,17044877140002148198390,8522438570001074099195
24008,36707458997453754147319,27530594248090315610489,18353729498726877073659,9176864749363438536829
25008,39324509829145439584450,29493382371859079688337,19662254914572719792225,9831127457286359896112
26008,41940906971215633421988,31455680228411725066491,20970453485607816710994,10485226742803908355497
27008,44556650619741825398385,33417487964806369048789,22278325309870912699192,11139162654935456349596
28008,47171740970742655908928,35378805728056991931696,23585870485371327954464,11792935242685663977232
29008,49786178220178018149395,37339633665133513612046,24893089110089009074697,12446544555044504537348
30008,52399962563948963268378,39299971922961722451283,26199981281974481634189,13099990640987240817094
31008,55013094197897831694839,41259820648423373771129,27506547098948915847419,13753273549474457923709
32008,57625573317808187474337,43219179988356140605753,28812786658904093737168,14406393329452046868584
33008,60237400119404891228783,45178050089553668421587,30118700059702445614391,15059350029851222807195
34008,62848574798354085564487,47136431098765564173365,31424287399177042782243,15712143699588521391121
35008,65459097550263216960090,49094323162697412720067,32729548775131608480045,16364774387565804240022
36008,68068968570681072246442,51051726428010804184831,34034484285340536123221,17017242142670268061610
37008,70678188055097771310627,53008641041323328482970,35339094027548885655313,17669547013774442827656
38008,73286756198944788983890,54965067149208591737917,36643378099472394491945,18321689049736197245972
39008,75894673197594998817494,56921004898196249113120,37947336598797499408747,18973668299398749704373
40008,78501939246362658490770,58876454434771993868077,39250969623181329245385,19625484811590664622692
41008,81108554540503453586969,60831415905377590190227,40554277270251726793484,20277138635125863396742
42008,83714519275214461113388,62785889456410845835041,41857259637607230556694,20928629818803615278347
43008,86319833645634266236980,64739875234225699677735,43159916822817133118490,21579958411408566559245
44008,88924497846842882028623,66693373385132161521467,44462248923421441014311,22231124461710720507155
45008,91528512073861815126901,68646384055396361345175,45764256036930907563450,22882128018465453781725
46008,94131876521654094922011,70598907391240571191508,47065938260827047461005,23532969130413523730502
47008,96734591385124229779906,72550943538843172334929,48367295692562114889953,24183647846281057444976
48008,99336656859118280002054,74502492644338710001540,49668328429559140001027,24834164214779570000513
49008,101938073138423901601296,76453554853817926200972,50969036569211950800648,25484518284605975400324
50008,104538840417770266046109,78404130313327699534582,52269420208885133023054,26134710104442566511527
